customer,product,amount
A,Phone,500
A,Laptop,1000
A,Tablet,450
B,Phone,700
B,Headphones,150
B,Laptop,1200
C,Phone,650
C,Monitor,300
C,Keyboard,80
D,Laptop,1100
D,Mouse,40
D,Phone,550
E,Tablet,500
E,Monitor,350
E,Headphones,200
F,Phone,750
F,Laptop,1300
F,Keyboard,90
G,Monitor,400
G,Mouse,35
G,Phone,600
H,Laptop,1400
H,Tablet,550
H,Headphones,180
I,Phone,800
I,Monitor,450
I,Keyboard,100
J,Laptop,1500
J,Mouse,50
J,Tablet,600
K,Phone,720
K,Laptop,1250
K,Headphones,220
L,Monitor,375
L,Keyboard,95
L,Phone,680
