Month,Product,Sales
Jan,A,10
Jan,B,15
Jan,C,22
Jan,D,18
Jan,E,30
Feb,A,12
Feb,B,20
Feb,C,25
Feb,D,17
Feb,E,28
Mar,A,14
Mar,B,18
Mar,C,30
Mar,D,21
Mar,E,35
Apr,A,16
Apr,B,24
Apr,C,27
Apr,D,23
Apr,E,40
May,A,20
May,B,28
May,C,33
May,D,26
May,E,45
Jun,A,18
Jun,B,30
Jun,C,38
Jun,D,29
Jun,E,50
Jul,A,22
Jul,B,35
Jul,C,42
Jul,D,31
Jul,E,55
Aug,A,25
Aug,B,38
Aug,C,45
Aug,D,34
Aug,E,60
Sep,A,28
Sep,B,40
Sep,C,50
Sep,D,37
Sep,E,65
Oct,A,30
Oct,B,45
Oct,C,55
Oct,D,42
Oct,E,70
Nov,A,35
Nov,B,50
Nov,C,60
Nov,D,48
Nov,E,75
Dec,A,40
Dec,B,55
Dec,C,65
Dec,D,52
Dec,E,80
